Primary_Commun_Platform,"Comm_Platform_Satisfaction(1-Yes, 0-No)",Pref_Live_Lectures,Pref_Audio_Lectures,Pref_Recorded_Content,Pref_PowerPoint_presentation,Pref_Interactive_Sessions,Pref_ContentDelivery_mode,PercentileAbleTo_Score,Question_Difficulty,Curr_ContentDelivery_Mode,Curr_Live_Lectures,Curr_Audio_Lectures,Curr_Recorded_Content,Curr_PowerPoint_presentation,Curr_Interactive_Sessions,"PlatformAccessEase(1-Easy,  2-Medium, 3-Hard)",platform_UI_intuitive _easy-to-use,E-Learning_feature_incorporate,THA,PracticeExercises,ReadingMaterials,QuizSolutions,TextBooks,Research Papers,Materials_provision_Platform,Tests_Assignments_in_course,Result_Show_Time,AvgDur_Tests,WeeklyHours_Browse_Platform,Portal_Login_Freq,CourseProgress_Satisfaction
Whatsapp,1,0,0,0,1,0,PowerPoint presentation,78,2,PowerPoint Presentation,1,0,1,1,0,2,1,1,1,0,0,0,0,0,THA(Take-Home Assignments),20,72,30,6,3,1
Mail,0,0,0,1,1,0,"Recorded Content, PowerPoint presentation",40,3,Live Lectures,1,0,1,1,0,1,1,0,1,1,0,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Quiz Solutions",20,72,30,1,2,0
Mail,0,1,0,1,0,0,"Live Lectures, Recorded Content",50,2,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,3,4,1
Mail,0,1,0,0,0,0,Live Lectures,30,3,Live Lectures,1,0,1,1,0,1,1,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,1,1
Mail,1,1,0,1,0,0,"Live Lectures, Recorded Content",70,2,"Live Lectures, Recorded Content",1,0,1,1,0,1,1,0,1,1,1,1,1,0,"THA(Take-Home Assignments), Reading Materials, Quiz Solutions, Textbooks",20,72,30,2,1,1
Mail,0,0,0,1,1,1,"Recorded Content, PowerPoint presentation, Interactive Sessions",40,3,"Recorded Content, PowerPoint Presentation, Interactive Sessions",1,0,1,1,0,3,0,1,1,1,1,1,1,1,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions, Textbooks, Research Papers",20,72,30,3,2,0
Mail,1,0,0,1,1,0,"Recorded Content, PowerPoint presentation",2,1,"Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,1,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions, Textbooks",20,72,30,4,3,1
Whatsapp,0,0,0,1,0,0,Recorded Content,70,2,"Live Lectures, PowerPoint Presentation",1,0,1,1,0,1,1,1,1,1,0,0,0,0,"THA(Take-Home Assignments), Practice Exercises",20,72,30,5,3,0
Slack,0,1,1,0,0,0,"Live Lectures, Audio  Lectures",70,2,Live Lectures,1,0,1,1,0,2,0.5,1,0,1,1,0,0,0,"Practice Exercises, Reading Materials",20,72,30,7,2,0
Whatsapp,0.5,1,0,0,0,0,Live Lectures,80,2,Live Lectures,1,0,1,1,0,2,1,0,0,1,0,0,0,0,Practice Exercises,20,72,30,10,3,1
Mail,0,0,0,1,0,0,Recorded Content,60,2,Live Lectures,1,0,1,1,0,3,0,1,1,0,1,0,0,0,"THA(Take-Home Assignments), Reading Materials",20,72,30,1,0,0
Mail,1,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",40,1,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,4,2,0
Mail,1,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",80,3,"Live Lectures, PowerPoint Presentation",1,0,1,1,0,3,1,1,1,0,1,1,1,0,"THA(Take-Home Assignments), Reading Materials, Quiz Solutions, Textbooks",20,72,30,10,10,0
Whatsapp,0.5,1,0,0,0,0,Live Lectures,80,2,Live Lectures,1,0,1,1,0,2,1,0,0,1,0,0,0,0,Practice Exercises,20,72,30,10,3,1
